org_code,org_description,account_type,account_category,account_code,account_description,amount
3000 - Accountants,Accountants,EXPENSE,Personal Services,7020,Full Time Employees,571473
3000 - Accountants,Accountants,EXPENSE,Personal Services,7105,Employers FICA,44155
3000 - Accountants,Accountants,EXPENSE,Personal Services,7110,Hospitalization Insurance,98345
3000 - Accountants,Accountants,EXPENSE,Personal Services,7115,Retiree Health Care-OPEB,69548
3000 - Accountants,Accountants,EXPENSE,Personal Services,7120,Retirement Fund Contribution,135610
3000 - Accountants,Accountants,EXPENSE,Personal Services,7135,Unemployment Compensation,800
3000 - Accountants,Accountants,EXPENSE,Supplies,7910,Subscriptions and Publications,600
3000 - Accountants,Accountants,EXPENSE,Other Services and Charges,9100,Professional Development,7500
3000 - Accountants,Accountants,EXPENSE,Other Services and Charges,9110,Other Travel & Training,4000
3000 - Accountants,Accountants,EXPENSE,Other Services and Charges,9150,Memberships,550
3000 - Accountants,Accountants,EXPENSE,Other Services and Charges,9470,Employee Parking,11232
4000 - Accounts Payable,Accounts Payable,EXPENSE,Personal Services,7020,Full Time Employees,166932
4000 - Accounts Payable,Accounts Payable,EXPENSE,Personal Services,7105,Employers FICA,12898
4000 - Accounts Payable,Accounts Payable,EXPENSE,Personal Services,7110,Hospitalization Insurance,36879
4000 - Accounts Payable,Accounts Payable,EXPENSE,Personal Services,7115,Retiree Health Care-OPEB,20316
4000 - Accounts Payable,Accounts Payable,EXPENSE,Personal Services,7120,Retirement Fund Contribution,39613
4000 - Accounts Payable,Accounts Payable,EXPENSE,Personal Services,7135,Unemployment Compensation,234
4000 - Accounts Payable,Accounts Payable,EXPENSE,Supplies,7520,Supplies,6000
4000 - Accounts Payable,Accounts Payable,EXPENSE,Other Services and Charges,8010,Contractual Services,700
4000 - Accounts Payable,Accounts Payable,EXPENSE,Other Services and Charges,8240,Fees,50
4000 - Accounts Payable,Accounts Payable,EXPENSE,Other Services and Charges,9100,Professional Development,2500
4000 - Accounts Payable,Accounts Payable,EXPENSE,Other Services and Charges,9150,Memberships,250
4000 - Accounts Payable,Accounts Payable,EXPENSE,Other Services and Charges,9340,Maintenance Service,3100
4000 - Accounts Payable,Accounts Payable,EXPENSE,Other Services and Charges,9470,Employee Parking,3036
5000 - Payroll Office,Payroll Office,EXPENSE,Personal Services,7020,Full Time Employees,166509
5000 - Payroll Office,Payroll Office,EXPENSE,Personal Services,7105,Employers FICA,12865
5000 - Payroll Office,Payroll Office,EXPENSE,Personal Services,7110,Hospitalization Insurance,24586
5000 - Payroll Office,Payroll Office,EXPENSE,Personal Services,7115,Retiree Health Care-OPEB,20264
5000 - Payroll Office,Payroll Office,EXPENSE,Personal Services,7120,Retirement Fund Contribution,39513
5000 - Payroll Office,Payroll Office,EXPENSE,Personal Services,7135,Unemployment Compensation,233
5000 - Payroll Office,Payroll Office,EXPENSE,Supplies,7520,Supplies,750
5000 - Payroll Office,Payroll Office,EXPENSE,Other Services and Charges,8010,Contractual Services,5000
5000 - Payroll Office,Payroll Office,EXPENSE,Other Services and Charges,8510,Postage,100
5000 - Payroll Office,Payroll Office,EXPENSE,Other Services and Charges,9100,Professional Development,4000
5000 - Payroll Office,Payroll Office,EXPENSE,Other Services and Charges,9150,Memberships,400
5000 - Payroll Office,Payroll Office,EXPENSE,Other Services and Charges,9470,Employee Parking,3816
